"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,2.3167392568516e-08,2.90858704995354e-06,4.32044056187232e-11,8.13958142928163e-06,0.0361513957713252,2.44990489811044e-10
2.3167392568516e-08,1,0.222988018914399,0.0432948236414687,0.140647807150686,9.55167510249832e-05,0.173683135230923
2.90858704995354e-06,0.222988018914399,1,0.00342554117352083,0.795183643946425,0.00442455786436642,0.0152333349848416
4.32044056187232e-11,0.0432948236414687,0.00342554117352083,NA,0.00179543248583921,2.97425609663157e-07,0.327086118655385
8.13958142928163e-06,0.140647807150686,0.795183643946425,0.00179543248583921,1,0.00929128397072231,0.00812894569741442
0.0361513957713252,9.55167510249832e-05,0.00442455786436642,2.97425609663157e-07,0.00929128397072231,1,1.59427342261191e-06
2.44990489811044e-10,0.173683135230923,0.0152333349848416,0.327086118655385,0.00812894569741442,1.59427342261191e-06,1
