"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,6.22361979421661e-18,6.11848647249264e-18,6.72205864335921e-18,7.06447841342681e-18,7.06607193038896e-18,6.34483918996727e-18
6.22361979421661e-18,1,0.697863979975554,0.226818457194225,6.2222068280286e-18,6.22361979421661e-18,0.0702288614033703
6.11848647249264e-18,0.697863979975554,1,0.139830276663822,6.11709612769174e-18,6.11848647249264e-18,0.0289008948960134
6.72205864335921e-18,0.226818457194225,0.139830276663822,1,6.72053870438766e-18,6.72205864335921e-18,0.679854092797928
7.06447841342681e-18,6.2222068280286e-18,6.11709612769174e-18,6.72053870438766e-18,1,0.122533854198692,6.34340016682149e-18
7.06607193038896e-18,6.22361979421661e-18,6.11848647249264e-18,6.72205864335921e-18,0.122533854198692,1,6.34483918996727e-18
6.34483918996727e-18,0.0702288614033703,0.0289008948960134,0.679854092797928,6.34340016682149e-18,6.34483918996727e-18,1
