"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,0.00257640427213383,0.0108295590788855,1.97067261327279e-11,0.0473649044759462,0.0525889016677426,4.40523321750058e-10
0.00257640427213383,1,3.41819347721295e-08,1.5240580277479e-05,0.0301333509526829,3.42560445862016e-07,0.000293684560575382
0.0108295590788855,3.41819347721295e-08,1,4.6607385953051e-17,6.62811177395569e-09,0.338671466244001,4.31213244337529e-16
1.97067261327279e-11,1.5240580277479e-05,4.6607385953051e-17,1,3.44061696307896e-13,1.6090997765919e-16,0.312347122127115
0.0473649044759462,0.0301333509526829,6.62811177395569e-09,3.44061696307896e-13,1,1.91313900384355e-07,2.21878809201833e-11
0.0525889016677426,3.42560445862016e-07,0.338671466244001,1.6090997765919e-16,1.91313900384355e-07,1,1.93968939769504e-15
4.40523321750058e-10,0.000293684560575382,4.31213244337529e-16,0.312347122127115,2.21878809201833e-11,1.93968939769504e-15,1
