noshuffle_cross0,noshuffle_cross1,noshuffle_cross2,noshuffle_cross3,shuffle_cross1,shuffle_cross2,shuffle_cross3
472.0,472.0,470.0,474.0,472.0,470.0,476.0
472.0,474.0,470.0,472.0,472.0,472.0,474.0
472.0,472.0,472.0,474.0,472.0,470.0,474.0
470.0,472.0,470.0,472.0,472.0,470.0,474.0
470.0,470.0,470.0,474.0,472.0,470.0,474.0
472.0,472.0,470.0,474.0,472.0,472.0,474.0
470.0,474.0,470.0,474.0,472.0,472.0,470.0
468.0,468.0,472.0,472.0,470.0,470.0,474.0
470.0,472.0,472.0,474.0,472.0,470.0,474.0
474.0,472.0,470.0,474.0,470.0,472.0,472.0
470.0,474.0,470.0,474.0,472.0,470.0,472.0
469.0,476.0,470.0,474.0,472.0,470.0,474.0
470.0,474.0,472.0,474.0,472.0,470.0,474.0
471.0,470.0,470.0,474.0,472.0,470.0,474.0
472.0,474.0,470.0,474.0,472.0,470.0,474.0
472.0,472.0,472.0,472.0,472.0,470.0,472.0
470.0,474.0,470.0,474.0,472.0,470.0,474.0
472.0,474.0,470.0,472.0,470.0,472.0,474.0
472.0,470.0,470.0,474.0,470.0,472.0,474.0
472.0,470.0,472.0,472.0,470.0,470.0,474.0
472.0,470.0,468.0,474.0,470.0,472.0,474.0
471.0,472.0,470.0,472.0,472.0,470.0,474.0
472.0,472.0,472.0,476.0,472.0,472.0,472.0
472.0,472.0,470.0,476.0,472.0,472.0,474.0
468.0,472.0,470.0,474.0,472.0,470.0,472.0
474.0,472.0,470.0,472.0,472.0,470.0,472.0
470.0,474.0,470.0,474.0,472.0,470.0,474.0
470.0,474.0,470.0,472.0,472.0,472.0,474.0
472.0,472.0,470.0,474.0,472.0,470.0,476.0
470.0,474.0,470.0,474.0,472.0,470.0,472.0
468.0,472.0,470.0,472.0,472.0,470.0,472.0
468.0,474.0,470.0,474.0,472.0,472.0,474.0
472.0,472.0,472.0,474.0,470.0,470.0,474.0
469.0,474.0,470.0,474.0,472.0,470.0,472.0
470.0,472.0,472.0,474.0,472.0,470.0,474.0
472.0,472.0,472.0,472.0,470.0,470.0,472.0
470.0,472.0,470.0,472.0,472.0,470.0,474.0
472.0,470.0,472.0,474.0,470.0,470.0,474.0
472.0,472.0,468.0,472.0,472.0,470.0,472.0
472.0,472.0,470.0,474.0,472.0,472.0,474.0
474.0,470.0,470.0,474.0,472.0,472.0,472.0
470.0,474.0,470.0,474.0,472.0,470.0,474.0
472.0,470.0,472.0,474.0,472.0,470.0,472.0
472.0,468.0,470.0,474.0,472.0,470.0,474.0
470.0,474.0,470.0,476.0,472.0,472.0,474.0
468.0,470.0,470.0,476.0,472.0,470.0,472.0
474.0,472.0,470.0,472.0,472.0,470.0,472.0
474.0,472.0,470.0,474.0,472.0,470.0,472.0
472.0,474.0,470.0,472.0,472.0,470.0,472.0
473.0,472.0,470.0,476.0,472.0,472.0,474.0
,,,,,,
