"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,3.15011372668097e-18,3.30479978647605e-18,3.35636842861114e-18,3.01437109117549e-18,2.43799903981539e-18,3.14271043358399e-18
3.15011372668097e-18,1,0.850772334130458,0.687631162473009,1.32895471530925e-18,1.06509821931883e-18,0.969890987261011
3.30479978647605e-18,0.850772334130458,1,0.819142104218317,1.39723486694499e-18,1.12045240499552e-18,0.812678948790155
3.35636842861114e-18,0.687631162473009,0.819142104218317,1,1.42002943199134e-18,1.13893844796146e-18,0.663123156756427
3.01437109117549e-18,1.32895471530925e-18,1.39723486694499e-18,1.42002943199134e-18,1,0.00137319046687766,1.5920050994124e-18
2.43799903981539e-18,1.06509821931883e-18,1.12045240499552e-18,1.13893844796146e-18,0.00137319046687766,1,1.13084823677252e-18
3.14271043358399e-18,0.969890987261011,0.812678948790155,0.663123156756427,1.5920050994124e-18,1.13084823677252e-18,1
