noshuffle_cross0,noshuffle_cross1,noshuffle_cross2,noshuffle_cross3,shuffle_cross1,shuffle_cross2,shuffle_cross3
31.017170936846334,0.0,0.0,4.0,14.0,14.0,0.0
28.0,4.0,0.0,0.0,16.0,14.0,2.0
30.0,0.0,0.0,0.0,14.0,14.0,0.0
32.13284040864552,0.0,0.0,4.0,12.0,12.0,0.0
29.89949493661167,2.0,4.0,4.0,14.0,12.0,0.0
32.491120303125804,0.0,4.0,2.0,10.0,14.0,2.0
31.42005249126033,4.0,2.0,4.0,12.0,10.0,0.0
30.0,2.0,0.0,2.0,12.0,14.0,4.0
32.64607348461141,0.0,2.0,0.0,12.0,14.0,2.0
35.27446058133116,0.0,0.0,0.0,12.0,16.0,0.0
31.89949493661167,2.0,2.0,0.0,10.0,14.0,4.0
31.88090450644081,0.0,0.0,0.0,12.0,14.0,0.0
25.647559034406953,4.0,0.0,4.0,14.0,14.0,2.0
26.0,2.0,4.0,2.0,14.0,16.0,2.0
31.647559034406953,0.0,4.0,4.0,16.0,16.0,0.0
32.91618068685089,0.0,0.0,0.0,12.0,14.0,4.0
30.132840408645524,2.0,0.0,0.0,12.0,14.0,2.0
30.0,2.0,2.0,0.0,12.0,12.0,0.0
31.395623132202235,0.0,0.0,0.0,14.0,14.0,0.0
26.0,4.0,4.0,2.0,12.0,14.0,2.0
29.647559034406953,0.0,0.0,0.0,10.0,12.0,0.0
29.880904506440807,0.0,0.0,4.0,12.0,12.0,0.0
32.0,4.0,2.0,0.0,12.0,14.0,2.0
29.88090450644081,0.0,2.0,0.0,12.0,14.0,0.0
29.420052491260325,2.0,0.0,0.0,14.0,14.0,4.0
25.64755903440695,2.0,0.0,4.0,14.0,14.0,0.0
30.48528137423857,2.0,2.0,0.0,12.0,16.0,0.0
31.420052491260325,2.0,2.0,2.0,12.0,14.0,0.0
31.16811658905561,2.0,2.0,2.0,12.0,12.0,2.0
26.0,2.0,0.0,4.0,12.0,14.0,0.0
31.395623132202235,4.0,4.0,0.0,12.0,14.0,0.0
26.0,0.0,2.0,6.0,14.0,14.0,0.0
29.647559034406953,0.0,2.0,2.0,12.0,14.0,0.0
31.16811658905561,2.0,0.0,0.0,12.0,12.0,0.0
31.420052491260325,4.0,4.0,0.0,14.0,12.0,0.0
27.899494936611667,4.0,0.0,2.0,14.0,14.0,2.0
29.395623132202232,4.0,4.0,0.0,12.0,16.0,2.0
27.899494936611667,4.0,0.0,2.0,12.0,10.0,4.0
30.132840408645524,0.0,0.0,0.0,14.0,12.0,4.0
31.395623132202235,0.0,0.0,0.0,10.0,12.0,2.0
26.0,0.0,0.0,4.0,12.0,14.0,2.0
31.58430088783136,0.0,4.0,4.0,14.0,12.0,0.0
21.647559034406953,6.0,0.0,0.0,12.0,14.0,10.0
32.0,0.0,4.0,0.0,12.0,12.0,4.0
31.647559034406953,0.0,2.0,0.0,14.0,14.0,4.0
33.64755903440695,0.0,4.0,4.0,14.0,14.0,2.0
26.0,0.0,0.0,2.0,14.0,12.0,0.0
29.656854249492383,0.0,0.0,2.0,10.0,14.0,6.0
29.16811658905561,0.0,4.0,0.0,12.0,14.0,0.0
27.899494936611667,0.0,2.0,4.0,10.0,12.0,0.0
,,,,,,
