"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,0.17190708828192,0.0192252817669818,0.000832705490572824,0.000942829698761234,0.000942829698761234,2.4499150476573e-05
0.17190708828192,1,0.726842620071286,0.0613277597458841,0.300643910729099,0.300643910729099,0.0082020408714329
0.0192252817669818,0.726842620071286,1,0.0333991400784656,0.159369123813793,0.159369123813793,0.00136944182409321
0.000832705490572824,0.0613277597458841,0.0333991400784656,1,0.0836124336710216,0.0836124336710216,0.481857050668674
0.000942829698761234,0.300643910729099,0.159369123813793,0.0836124336710216,NA,NA,0.00342554117352083
0.000942829698761234,0.300643910729099,0.159369123813793,0.0836124336710216,NA,NA,0.00342554117352083
2.4499150476573e-05,0.0082020408714329,0.00136944182409321,0.481857050668674,0.00342554117352083,0.00342554117352083,1
