"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,9.97661534347766e-06,0.671495086220886,1.93399655149041e-15,7.55931025484813e-05,0.025777792708582,1.13578170704575e-12
9.97661534347766e-06,1,7.39614774013019e-07,3.01974994358221e-09,0.0915512430527956,0.00118393223598769,2.1138450832602e-05
0.671495086220886,7.39614774013019e-07,1,3.94609187829235e-17,4.78780687133249e-06,0.0149681191917936,1.91572871975496e-14
1.93399655149041e-15,3.01974994358221e-09,3.94609187829235e-17,1,3.21149164156184e-14,3.33291171664559e-15,0.0221640099557095
7.55931025484813e-05,0.0915512430527956,4.78780687133249e-06,3.21149164156184e-14,1,0.0236471756468602,8.27006627693316e-10
0.025777792708582,0.00118393223598769,0.0149681191917936,3.33291171664559e-15,0.0236471756468602,1,1.29496809205326e-11
1.13578170704575e-12,2.1138450832602e-05,1.91572871975496e-14,0.0221640099557095,8.27006627693316e-10,1.29496809205326e-11,1
