noshuffle_cross0,noshuffle_cross1,noshuffle_cross2,noshuffle_cross3,shuffle_cross1,shuffle_cross2,shuffle_cross3
178.1617694208039,58.0,24.0,48.0,102.0,100.0,48.0
180.6270924924877,46.0,36.0,38.0,104.0,106.0,38.0
165.8894237973571,48.0,42.0,36.0,104.0,104.0,36.0
162.7657432618372,42.0,28.0,46.0,104.0,104.0,46.0
166.93783711573084,30.0,20.0,32.0,100.0,98.0,32.0
167.1010115943289,26.0,32.0,28.0,100.0,108.0,28.0
171.65549358878917,32.0,34.0,40.0,102.0,100.0,40.0
177.78049406770668,42.0,52.0,32.0,104.0,102.0,32.0
167.9497145647096,46.0,36.0,48.0,102.0,100.0,48.0
170.94399135553127,52.0,36.0,24.0,102.0,104.0,24.0
177.11918289436358,32.0,42.0,34.0,100.0,100.0,34.0
179.8926769888694,42.0,48.0,24.0,102.0,104.0,24.0
157.78897938023067,50.0,36.0,28.0,100.0,102.0,28.0
179.85429230801097,44.0,38.0,42.0,102.0,96.0,42.0
157.4926344211044,26.0,28.0,48.0,100.0,96.0,48.0
181.09965985373054,36.0,8.0,24.0,92.0,102.0,24.0
170.18441177734184,34.0,42.0,46.0,104.0,106.0,46.0
182.66281806747196,36.0,34.0,44.0,104.0,98.0,44.0
147.92218199311836,28.0,28.0,48.0,102.0,106.0,48.0
159.72454981996165,46.0,36.0,24.0,100.0,98.0,24.0
168.46636643858574,32.0,44.0,52.0,104.0,106.0,52.0
165.44768283303577,34.0,24.0,32.0,100.0,100.0,32.0
171.12889723958514,46.0,36.0,24.0,102.0,92.0,24.0
184.1748151225485,26.0,44.0,34.0,100.0,98.0,34.0
167.23003928710867,36.0,36.0,40.0,98.0,104.0,40.0
162.70552227132376,50.0,38.0,24.0,96.0,98.0,24.0
172.34555696137983,26.0,34.0,40.0,96.0,98.0,40.0
177.44614606957015,28.0,28.0,46.0,98.0,104.0,46.0
171.03287936448567,58.0,42.0,38.0,98.0,100.0,38.0
153.87363886037932,32.0,24.0,38.0,100.0,100.0,38.0
174.98779251794477,38.0,24.0,48.0,100.0,102.0,48.0
181.93246674455995,42.0,56.0,38.0,102.0,104.0,38.0
170.27707165787146,38.0,48.0,42.0,102.0,98.0,42.0
167.3574346848225,44.0,24.0,28.0,94.0,106.0,28.0
173.03775344775326,36.0,50.0,32.0,104.0,106.0,32.0
165.22252721886497,40.0,46.0,42.0,96.0,102.0,42.0
175.92598243287694,24.0,20.0,24.0,100.0,106.0,24.0
164.33242381824797,46.0,50.0,42.0,92.0,106.0,42.0
178.1400596463143,42.0,30.0,48.0,100.0,106.0,48.0
158.52110157387705,44.0,0.0,44.0,102.0,108.0,44.0
172.50209201357015,36.0,42.0,52.0,104.0,104.0,52.0
176.59955992089638,40.0,34.0,44.0,102.0,98.0,44.0
180.13628777473895,34.0,36.0,24.0,102.0,98.0,24.0
174.14023239307426,52.0,48.0,24.0,102.0,108.0,24.0
171.4431464017959,54.0,30.0,38.0,104.0,104.0,38.0
156.88836109806567,24.0,26.0,44.0,104.0,102.0,44.0
174.3515654914969,34.0,30.0,38.0,98.0,104.0,38.0
175.2783270775607,38.0,40.0,24.0,102.0,102.0,24.0
175.34704251117535,38.0,48.0,32.0,102.0,100.0,32.0
170.54511180279914,24.0,48.0,24.0,98.0,104.0,24.0
,,,,,,
