"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,6.88814239757749e-18,6.79693580260721e-18,6.5375288430599e-18,5.36656623158418e-18,6.16173594546199e-18,6.5375288430599e-18
6.88814239757749e-18,1,0.175429511899741,0.372130562181508,5.22948341757502e-18,6.00546680995905e-18,0.372130562181508
6.79693580260721e-18,0.175429511899741,1,0.620590134880418,5.15923426864619e-18,5.92537433377624e-18,0.620590134880418
6.5375288430599e-18,0.372130562181508,0.620590134880418,1,4.95950775608474e-18,5.6976196875491e-18,1
5.36656623158418e-18,5.22948341757502e-18,5.15923426864619e-18,4.95950775608474e-18,1,0.0507248879798989,4.95950775608474e-18
6.16173594546199e-18,6.00546680995905e-18,5.92537433377624e-18,5.6976196875491e-18,0.0507248879798989,1,5.6976196875491e-18
6.5375288430599e-18,0.372130562181508,0.620590134880418,1,4.95950775608474e-18,5.6976196875491e-18,1
