"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,0.000855492161768623,0.0852808263290635,3.2916376247832e-06,0.00579988199143359,0.943965747076971,3.2916376247832e-06
0.000855492161768623,1,0.0863876493824058,0.0432948236414687,0.511379166927006,0.000785406042604292,0.0432948236414687
0.0852808263290635,0.0863876493824058,1,0.000932987908367388,0.280056603192479,0.0769976493198338,0.000932987908367388
3.2916376247832e-06,0.0432948236414687,0.000932987908367388,NA,0.0122308677914963,3.21554970213059e-06,NA
0.00579988199143359,0.511379166927006,0.280056603192479,0.0122308677914963,1,0.0052543216858923,0.0122308677914963
0.943965747076971,0.000785406042604292,0.0769976493198338,3.21554970213059e-06,0.0052543216858923,1,3.21554970213059e-06
3.2916376247832e-06,0.0432948236414687,0.000932987908367388,NA,0.0122308677914963,3.21554970213059e-06,NA
