noshuffle_cross0,noshuffle_cross1,noshuffle_cross2,noshuffle_cross3,shuffle_cross1,shuffle_cross2,shuffle_cross3
110.0,112.0,112.0,112.0,112.0,112.0,112.0
112.0,110.0,112.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,112.0,112.0
110.0,112.0,112.0,112.0,110.0,110.0,112.0
112.0,112.0,110.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,110.0,110.0,112.0
110.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,112.0,112.0,112.0,112.0,110.0,112.0
110.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,112.0,112.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,110.0,112.0,112.0,110.0,112.0,112.0
110.0,112.0,112.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,110.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,112.0,112.0
110.0,112.0,112.0,112.0,110.0,110.0,112.0
110.0,112.0,112.0,112.0,110.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,112.0,112.0
112.0,112.0,110.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,112.0,110.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,112.0,112.0,112.0,112.0,110.0,112.0
110.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,112.0,110.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,112.0,112.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,110.0,112.0
112.0,112.0,112.0,112.0,112.0,112.0,112.0
110.0,112.0,110.0,112.0,112.0,112.0,112.0
110.0,112.0,112.0,112.0,112.0,112.0,112.0
110.0,112.0,112.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,112.0,112.0
110.0,112.0,112.0,112.0,112.0,112.0,112.0
112.0,112.0,110.0,112.0,112.0,112.0,112.0
112.0,110.0,110.0,112.0,112.0,110.0,112.0
112.0,112.0,112.0,112.0,112.0,112.0,112.0
112.0,110.0,112.0,112.0,112.0,112.0,112.0
112.0,112.0,112.0,112.0,112.0,112.0,112.0
111.0,112.0,112.0,112.0,112.0,112.0,112.0
112.0,112.0,110.0,112.0,112.0,112.0,112.0
110.0,112.0,112.0,112.0,112.0,112.0,112.0
110.0,112.0,112.0,112.0,112.0,112.0,112.0
110.0,112.0,112.0,112.0,112.0,112.0,112.0
110.0,112.0,110.0,112.0,112.0,110.0,112.0
110.0,112.0,110.0,112.0,112.0,112.0,112.0
,,,,,,
