"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,0.41416349223085,0.184122591604142,0.00923046758673817,0.00181432743786213,0.00923046758673817,0.00181432743786213
0.41416349223085,1,0.0517758828511558,0.00224507002374023,0.000480077356370053,0.00224507002374023,0.000480077356370053
0.184122591604142,0.0517758828511558,1,0.173683135230923,0.0432948236414687,0.173683135230923,0.0432948236414687
0.00923046758673817,0.00224507002374023,0.173683135230923,1,0.327086118655385,1,0.327086118655385
0.00181432743786213,0.000480077356370053,0.0432948236414687,0.327086118655385,NA,0.327086118655385,NA
0.00923046758673817,0.00224507002374023,0.173683135230923,1,0.327086118655385,1,0.327086118655385
0.00181432743786213,0.000480077356370053,0.0432948236414687,0.327086118655385,NA,0.327086118655385,NA
