"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,0.204079289102478,0.495553840706915,0.000711724836496811,0.173846140558024,0.173846140558024,0.000115313159223143
0.204079289102478,1,0.335089611256484,0.187449212434255,0.40780732497572,0.40780732497572,0.0644562550222196
0.495553840706915,0.335089611256484,1,0.00177051650036228,0.567628499263336,0.567628499263336,0.000265279716986514
0.000711724836496811,0.187449212434255,0.00177051650036228,1,0.000932987908367388,0.000932987908367388,0.481077435783423
0.173846140558024,0.40780732497572,0.567628499263336,0.000932987908367388,NA,NA,0.000122902487183331
0.173846140558024,0.40780732497572,0.567628499263336,0.000932987908367388,NA,NA,0.000122902487183331
0.000115313159223143,0.0644562550222196,0.000265279716986514,0.481077435783423,0.000122902487183331,0.000122902487183331,1
