"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,7.88007248978063e-07,0.295221743747687,2.73928105913319e-08,0.000364031066433172,0.402744787515202,1.59042078538461e-07
7.88007248978063e-07,1,7.03867052773459e-05,0.159369123813793,0.0833750635192334,3.35485541387328e-05,0.567588573219889
0.295221743747687,7.03867052773459e-05,1,3.21554970213059e-06,0.0116354458740172,0.839945386945458,1.65772324918123e-05
2.73928105913319e-08,0.159369123813793,3.21554970213059e-06,NA,0.00648950285775923,1.48033996931544e-06,0.327086118655385
0.000364031066433172,0.0833750635192334,0.0116354458740172,0.00648950285775923,1,0.0065774259060074,0.0282923772339174
0.402744787515202,3.35485541387328e-05,0.839945386945458,1.48033996931544e-06,0.0065774259060074,1,7.73217822870401e-06
1.59042078538461e-07,0.567588573219889,1.65772324918123e-05,0.327086118655385,0.0282923772339174,7.73217822870401e-06,1
