"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,2.0644924548081e-06,3.71509134654998e-05,1.69734271345456e-10,6.71918182607421e-06,0.011635774236473,1.69734271345456e-10
2.0644924548081e-06,1,0.352780022143037,0.0149880298687636,0.645145905056461,0.00598355285582917,0.0149880298687636
3.71509134654998e-05,0.352780022143037,1,0.00115997628669475,0.63437318717719,0.0574067354194973,0.00115997628669475
1.69734271345456e-10,0.0149880298687636,0.00115997628669475,1,0.00429509550146507,1.59427342261191e-06,1
6.71918182607421e-06,0.645145905056461,0.63437318717719,0.00429509550146507,1,0.0181674035489221,0.00429509550146507
0.011635774236473,0.00598355285582917,0.0574067354194973,1.59427342261191e-06,0.0181674035489221,1,1.59427342261191e-06
1.69734271345456e-10,0.0149880298687636,0.00115997628669475,1,0.00429509550146507,1.59427342261191e-06,1
