"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,0.776033273452174,0.110254166493047,0.011882335052408,6.30475390314388e-05,0.00032741145417909,0.00132081780765627
0.776033273452174,1,0.206563804682344,0.0303255183804274,0.000244349210991531,0.00115997628669475,0.00421281027805122
0.110254166493047,0.206563804682344,1,0.34331372069352,0.00648950285775923,0.0282923772339174,0.0833750635192334
0.011882335052408,0.0303255183804274,0.34331372069352,1,0.0432948236414687,0.173683135230923,0.406792534620007
6.30475390314388e-05,0.000244349210991531,0.00648950285775923,0.0432948236414687,NA,0.327086118655385,0.159369123813793
0.00032741145417909,0.00115997628669475,0.0282923772339174,0.173683135230923,0.327086118655385,1,0.567588573219889
0.00132081780765627,0.00421281027805122,0.0833750635192334,0.406792534620007,0.159369123813793,0.567588573219889,1
