"OP","CB","ZL","MoO","CB w/s","ZL w/s","MoO w/s"
1,0.0270625810065933,0.000938515368789461,0.0151154718067939,0.000938515368789461,0.00440398828643206,0.000938515368789461
0.0270625810065933,1,0.3148040679256,0.993316136840772,0.3148040679256,0.648076868139146,0.3148040679256
0.000938515368789461,0.3148040679256,NA,0.159369123813793,NA,0.327086118655385,NA
0.0151154718067939,0.993316136840772,0.159369123813793,1,0.159369123813793,0.567588573219889,0.159369123813793
0.000938515368789461,0.3148040679256,NA,0.159369123813793,NA,0.327086118655385,NA
0.00440398828643206,0.648076868139146,0.327086118655385,0.567588573219889,0.327086118655385,1,0.327086118655385
0.000938515368789461,0.3148040679256,NA,0.159369123813793,NA,0.327086118655385,NA
